"Date_reported","Country_code","Country","WHO_region","New_cases","New_deaths"
2020-04-03,"AL","Albania","EURO",0,1
2020-04-04,"AL","Albania","EURO",56,1
2020-04-05,"AL","Albania","EURO",0,1
2020-04-06,"AL","Albania","EURO",44,3
2020-04-07,"AL","Albania","EURO",0,1
2020-04-08,"AL","Albania","EURO",23,0
2020-04-09,"AL","Albania","EURO",9,0
2020-04-10,"AL","Albania","EURO",7,1
2020-04-11,"AL","Albania","EURO",0,0
2020-04-12,"AL","Albania","EURO",30,0
2020-04-13,"AL","Albania","EURO",0,0
2020-04-14,"AL","Albania","EURO",29,0
2020-04-15,"AL","Albania","EURO",0,1
2020-04-16,"AL","Albania","EURO",19,1
2020-04-17,"AL","Albania","EURO",24,1
2020-04-18,"AL","Albania","EURO",30,0
2020-04-19,"AL","Albania","EURO",0,0
2020-04-20,"AL","Albania","EURO",14,0
2020-04-21,"AL","Albania","EURO",47,0
2020-04-22,"AL","Albania","EURO",25,0
2020-04-23,"AL","Albania","EURO",0,1
2020-04-24,"AL","Albania","EURO",44,0
2020-04-25,"AL","Albania","EURO",0,0
2020-04-26,"AL","Albania","EURO",34,0
2020-04-27,"AL","Albania","EURO",14,1
2020-04-28,"AL","Albania","EURO",10,0
2020-04-29,"AL","Albania","EURO",30,2
2020-04-30,"AL","Albania","EURO",7,1
2020-05-01,"AL","Albania","EURO",0,0
2020-05-02,"AL","Albania","EURO",16,0
2020-05-03,"AL","Albania","EURO",6,0
2020-05-04,"AL","Albania","EURO",8,0
2020-05-05,"AL","Albania","EURO",17,0
2020-05-06,"AL","Albania","EURO",12,0
2020-05-07,"AL","Albania","EURO",0,0
2020-05-08,"AL","Albania","EURO",18,0
2020-05-09,"AL","Albania","EURO",6,0
2020-05-10,"AL","Albania","EURO",12,0
2020-05-11,"AL","Albania","EURO",0,0
2020-05-12,"AL","Albania","EURO",4,0
2020-05-13,"AL","Albania","EURO",4,0
2020-05-14,"AL","Albania","EURO",4,0
2020-05-15,"AL","Albania","EURO",18,0
2020-05-16,"AL","Albania","EURO",35,0
2020-05-17,"AL","Albania","EURO",13,0
2020-05-18,"AL","Albania","EURO",2,0
2020-05-19,"AL","Albania","EURO",0,0
2020-05-20,"AL","Albania","EURO",16,0
2020-05-21,"AL","Albania","EURO",5,0
2020-05-22,"AL","Albania","EURO",0,0
2020-05-23,"AL","Albania","EURO",12,0
2020-05-24,"AL","Albania","EURO",8,1
2020-05-25,"AL","Albania","EURO",15,0
2020-05-26,"AL","Albania","EURO",25,1
2020-05-27,"AL","Albania","EURO",21,0
2020-05-28,"AL","Albania","EURO",26,0
2020-05-29,"AL","Albania","EURO",23,0
2020-05-30,"AL","Albania","EURO",23,0
2020-05-31,"AL","Albania","EURO",14,0
2020-06-01,"AL","Albania","EURO",7,0
2020-06-02,"AL","Albania","EURO",21,0
2020-06-03,"AL","Albania","EURO",12,0
2020-06-04,"AL","Albania","EURO",21,0
2020-06-05,"AL","Albania","EURO",15,0
2020-06-06,"AL","Albania","EURO",20,1
2020-06-07,"AL","Albania","EURO",14,0
2020-06-08,"AL","Albania","EURO",17,0
2020-06-09,"AL","Albania","EURO",36,0
2020-06-10,"AL","Albania","EURO",42,0
2020-06-11,"AL","Albania","EURO",44,0
2020-06-12,"AL","Albania","EURO",31,2
2020-06-13,"AL","Albania","EURO",48,0
2020-06-14,"AL","Albania","EURO",57,0
2020-06-15,"AL","Albania","EURO",69,0
2020-06-16,"AL","Albania","EURO",82,1
2020-06-17,"AL","Albania","EURO",50,1
2020-06-18,"AL","Albania","EURO",66,1
2020-06-19,"AL","Albania","EURO",50,3
2020-06-20,"AL","Albania","EURO",0,0
2020-06-21,"AL","Albania","EURO",53,1
2020-06-22,"AL","Albania","EURO",104,1
2020-06-23,"AL","Albania","EURO",52,1
2020-02-25,"DZ","Algeria","AFRO",1,0
2020-02-26,"DZ","Algeria","AFRO",0,0
2020-02-27,"DZ","Algeria","AFRO",0,0
2020-02-28,"DZ","Algeria","AFRO",0,0
2020-02-29,"DZ","Algeria","AFRO",0,0
2020-03-01,"DZ","Algeria","AFRO",0,0
2020-03-02,"DZ","Algeria","AFRO",2,0
2020-03-03,"DZ","Algeria","AFRO",2,0
2020-03-04,"DZ","Algeria","AFRO",7,0
2020-03-05,"DZ","Algeria","AFRO",0,0
2020-03-06,"DZ","Algeria","AFRO",5,0
2020-03-07,"DZ","Algeria","AFRO",0,0
2020-03-08,"DZ","Algeria","AFRO",0,0
2020-03-09,"DZ","Algeria","AFRO",3,0
2020-03-10,"DZ","Algeria","AFRO",0,0
2020-03-11,"DZ","Algeria","AFRO",0,0
2020-03-12,"DZ","Algeria","AFRO",5,1
2020-03-13,"DZ","Algeria","AFRO",0,0
2020-03-14,"DZ","Algeria","AFRO",12,1
2020-03-15,"DZ","Algeria","AFRO",12,1
2020-03-16,"DZ","Algeria","AFRO",0,1
2020-03-17,"DZ","Algeria","AFRO",11,0
2020-03-18,"DZ","Algeria","AFRO",12,2
2020-03-19,"DZ","Algeria","AFRO",10,1
2020-03-20,"DZ","Algeria","AFRO",12,3
2020-03-21,"DZ","Algeria","AFRO",0,5
2020-03-22,"DZ","Algeria","AFRO",45,0
2020-03-23,"DZ","Algeria","AFRO",62,2
2020-03-24,"DZ","Algeria","AFRO",30,0
2020-03-25,"DZ","Algeria","AFRO",33,0
2020-03-26,"DZ","Algeria","AFRO",0,0
2020-03-27,"DZ","Algeria","AFRO",41,4
2020-03-28,"DZ","Algeria","AFRO",62,4
2020-03-29,"DZ","Algeria","AFRO",42,1
2020-03-30,"DZ","Algeria","AFRO",45,3
2020-03-31,"DZ","Algeria","AFRO",57,2
2020-04-01,"DZ","Algeria","AFRO",73,4
2020-04-02,"DZ","Algeria","AFRO",263,23
2020-04-03,"DZ","Algeria","AFRO",139,25
2020-04-04,"DZ","Algeria","AFRO",185,22
2020-04-05,"DZ","Algeria","AFRO",80,25
2020-04-06,"DZ","Algeria","AFRO",0,0
2020-04-07,"DZ","Algeria","AFRO",172,43
2020-04-08,"DZ","Algeria","AFRO",45,21
2020-04-09,"DZ","Algeria","AFRO",104,11
2020-04-10,"DZ","Algeria","AFRO",94,30
2020-04-11,"DZ","Algeria","AFRO",95,21
2020-04-12,"DZ","Algeria","AFRO",64,19
2020-04-13,"DZ","Algeria","AFRO",89,18
2020-04-14,"DZ","Algeria","AFRO",69,20
2020-04-15,"DZ","Algeria","AFRO",87,13
2020-04-16,"DZ","Algeria","AFRO",90,10
2020-04-17,"DZ","Algeria","AFRO",108,12
2020-04-18,"DZ","Algeria","AFRO",150,16
2020-04-19,"DZ","Algeria","AFRO",116,3
2020-04-20,"DZ","Algeria","AFRO",95,8
2020-04-21,"DZ","Algeria","AFRO",89,9
2020-04-22,"DZ","Algeria","AFRO",93,8
2020-04-23,"DZ","Algeria","AFRO",99,10
2020-04-24,"DZ","Algeria","AFRO",97,5
2020-04-25,"DZ","Algeria","AFRO",120,8
2020-04-26,"DZ","Algeria","AFRO",129,4
2020-04-27,"DZ","Algeria","AFRO",126,6
2020-04-28,"DZ","Algeria","AFRO",135,7
2020-04-29,"DZ","Algeria","AFRO",132,5
2020-04-30,"DZ","Algeria","AFRO",199,7
2020-05-01,"DZ","Algeria","AFRO",158,6
2020-05-02,"DZ","Algeria","AFRO",148,3
2020-05-03,"DZ","Algeria","AFRO",141,6
2020-05-04,"DZ","Algeria","AFRO",179,4
2020-05-05,"DZ","Algeria","AFRO",174,2
2020-05-06,"DZ","Algeria","AFRO",190,5
2020-05-07,"DZ","Algeria","AFRO",159,6
2020-05-08,"DZ","Algeria","AFRO",185,7
2020-05-09,"DZ","Algeria","AFRO",187,5
2020-05-10,"DZ","Algeria","AFRO",189,6
2020-05-11,"DZ","Algeria","AFRO",165,8
2020-05-12,"DZ","Algeria","AFRO",168,5
2020-05-13,"DZ","Algeria","AFRO",176,8
2020-05-14,"DZ","Algeria","AFRO",186,7
2020-05-15,"DZ","Algeria","AFRO",189,7
2020-05-16,"DZ","Algeria","AFRO",188,7
2020-05-17,"DZ","Algeria","AFRO",191,6
2020-05-18,"DZ","Algeria","AFRO",198,6
2020-05-19,"DZ","Algeria","AFRO",182,7
2020-05-20,"DZ","Algeria","AFRO",176,6
2020-05-21,"DZ","Algeria","AFRO",165,7
2020-05-22,"DZ","Algeria","AFRO",186,7
2020-05-23,"DZ","Algeria","AFRO",190,7
2020-05-24,"DZ","Algeria","AFRO",195,10
2020-05-25,"DZ","Algeria","AFRO",193,8
2020-05-26,"DZ","Algeria","AFRO",197,9
2020-05-27,"DZ","Algeria","AFRO",194,8
2020-05-28,"DZ","Algeria","AFRO",160,6
2020-05-29,"DZ","Algeria","AFRO",140,7
2020-05-30,"DZ","Algeria","AFRO",137,8
2020-05-31,"DZ","Algeria","AFRO",133,8
2020-06-01,"DZ","Algeria","AFRO",127,7
2020-06-02,"DZ","Algeria","AFRO",119,8
2020-06-03,"DZ","Algeria","AFRO",113,6
2020-06-04,"DZ","Algeria","AFRO",107,6
2020-06-05,"DZ","Algeria","AFRO",98,8
2020-06-06,"DZ","Algeria","AFRO",104,9
2020-06-07,"DZ","Algeria","AFRO",115,8
2020-06-08,"DZ","Algeria","AFRO",104,9
2020-06-09,"DZ","Algeria","AFRO",111,8
2020-06-10,"DZ","Algeria","AFRO",117,9
2020-06-11,"DZ","Algeria","AFRO",102,8
2020-06-12,"DZ","Algeria","AFRO",105,9
2020-06-13,"DZ","Algeria","AFRO",109,10
2020-06-14,"DZ","Algeria","AFRO",112,9
2020-06-15,"DZ","Algeria","AFRO",109,7
2020-06-16,"DZ","Algeria","AFRO",112,10
2020-06-17,"DZ","Algeria","AFRO",116,11
2020-06-18,"DZ","Algeria","AFRO",121,11
2020-06-19,"DZ","Algeria","AFRO",117,12
2020-06-20,"DZ","Algeria","AFRO",119,14
2020-06-21,"DZ","Algeria","AFRO",127,12
2020-06-22,"DZ","Algeria","AFRO",140,8
2020-06-23,"DZ","Algeria","AFRO",149,7
2020-03-02,"AD","Andorra","EURO",1,0
2020-03-03,"AD","Andorra","EURO",0,0
2020-03-04,"AD","Andorra","EURO",0,0
2020-03-05,"AD","Andorra","EURO",0,0
2020-03-06,"AD","Andorra","EURO",0,0
2020-03-07,"AD","Andorra","EURO",0,0
2020-03-08,"AD","Andorra","EURO",0,0
2020-03-09,"AD","Andorra","EURO",0,0
2020-03-10,"AD","Andorra","EURO",0,0
2020-03-11,"AD","Andorra","EURO",0,0
2020-03-12,"AD","Andorra","EURO",0,0
